unit_designator,calls
MEDIC 82-1,1970
MEDIC 77-4,884
AMB 88-1,651
88-1,497
MICU 82-1,376
64-1,374
64-3,346
MEDIC 82-2,343
MEDIC 82-3,337
82-2,320
MICU 77-6,314
77-4,297
MICU 77-4,294
AMB 82-2,292
01-1,287
MICU 77-8,285
MEDIC 77-6,273
AMB 43-1,253
AMB 37-8,247
AMB 77-4,245
AMB 82-1,231
MEDIC 37-10,224
37-8,217
MEDIC 04-30,211
AMB 37-1,209
64-2,202
46-1,190
MICU 82-2,182
MICU 86-1,171
AMB 82-3,165
AMB 46-1,160
63-1,158
17-1,154
AMB 36-1,151
MEDIC 37-30,140
MEDIC 04-1,132
77-2,132
MICU 77-2,130
MEDIC 77-8,129
02-11,129
MICU 86-2,128
AMB 09-1,128
86-4,127
AMB 77-2,125
MICU 77-3,123
MEDIC 77-2,122
82-3,122
MEDIC 02-1,121
MEDIC 77-42,119
MICU 86-4,118
MICU 88-1,116
AMB 01-2,114
64-5,112
24-1,111
AMB 49-1,109
AMB 17-1,108
AMB 77-3,107
86-1,101
AMB 88-2,100
AMB 82-11,99
AMB 21-1,98
AMB 01-1,98
AMB 24-1,97
37-1,96
AMB 02-11,93
MICU 86-11,91
82-1,89
MEDIC 86-2,87
MEDIC 04-3,86
77-6,85
58-1,82
77-3,80
82-11,79
51-1,78
MEDIC 04-10,78
AMB 85-1,76
86-2,72
01-2,72
AMB 77-6,71
MEDIC 85-10,67
AMB 77-7,63
58-2,63
89-2,61
MEDIC 77-3,61
57-2,58
MEDIC 86-4,57
54-3,57
83-10,57
AMB 86-12,55
85-1,54
95-21,54
02-12,54
62-1,51
MICU 82-3,50
MEDIC 86-1,50
63-2,50
AMB 37-2,50
AMB 21-2,49
MEDIC 77-62,42
89-1,41
48-2,41
62-2,39
AMB 77-9,38
93-1,38
AMB 85-11,37
79-1,36
MICU 86-12,35
MICU 04-11,35
88-2,34
66-2,33
MICU 02-12,33
MEDIC 04-40,33
MEDIC 86-11,32
88-10,32
MICU 02-11,32
37-30,31
AMB 43-2,31
MEDIC 82-11,30
53-1,30
94-1,29
MEDIC 37-40,28
AMB 02-12,28
85-11,28
AMB 24-2,28
77-42,27
66-3,27
86-11,26
41-2,24
48-1,23
47-2,23
54-1,23
AMB 89-1,23
AMB 02-41,22
02-31,22
86-12,22
AMB 83-1,21
MEDIC 77-9,21
02-21,21
37-2,21
95-11,20
55-1,19
AMB 83-2,18
AMB 37-12,18
AMB 85-4,18
57-1,18
02-41,18
AMB 02-31,17
MICU 77-9,17
AMB 49-2,17
40-10,17
AMB 77-22,17
77-81,16
MEDIC 85-1,15
MEDIC 77-32,15
AMB 77-42,15
MEDIC 86-12,15
37-12,15
MEDIC 77-7,15
25-1,15
MEDIC 85-11,14
77-7,14
MICU 82-11,14
85-4,14
26-1,14
66-1,13
39-3,13
AMB 88-12,13
MICU 86-21,12
41-1,12
MEDIC 85-4,12
AMB 08-1,12
AMB 88-3,12
AMB 43-4,12
77-8,12
AMB 01-3,11
67-1,11
64-4,11
AMB 86-11,11
47-1,11
77-22,11
31-2,11
85-3,10
15-1,10
44-1,10
45-1,10
83-20,10
MEDIC 04-5,10
05-1,10
MEDIC 04-50,10
77-9,10
MICU 77-62,10
MEDIC 77-22,9
42-1,9
69-1,9
AMB 02-42,9
02-22,9
85-13,9
AMB 85-3,9
45-2,9
95-22,9
18-1,8
43-1,8
AMB 02-21,8
MEDIC 82-10,8
MICU 86-13,8
73-1,8
AMB 36-2,8
91-1,7
MICU 02-13,7
17-2,7
27-1,7
MEDIC 02-2,7
89-3,7
39-1,7
29-1,7
AMB 24-3,7
