station_number,station_name,address,city,state,zip,lat,lon
06-1,East Station,1829 Lincoln Highway E,Lancaster,PA,17602,40.03576920430254,-76.25433641842815
06-7,LGH Station,555 N Duke St,Lancaster,PA,17603,40.04714417759513,-76.30438198270724
06-9,WBH Station,690 Good Dr,Lancaster,PA,17603,40.06538678948616,-76.3511851607547
06-3,Columbia Ave Station,2650 Columbia Ave,Lancaster,PA,17603,40.04033860807688,-76.37979500308371
06-2,George St Station,239 N George St,Millersville,PA,17551,40.00252495941176,-76.35648418774129
06-8,Lancaster Township FD Station,1275 Millersville Pike,Lancaster,PA,17603,40.02744881187077,-76.32781914541216
06-5,Headquaters,715 Fairview Avenue,Lancaster,PA,17603,40.024363672488704,-76.30677061657629
56-6,Strasburg Station,20 Lancaster Avenue,Strasburg,PA,17579,39.983812206707675,-76.18568937425025
56-1,Willow Valley Station,450 Willow Valley Lakes Dr,Willow Street,PA,17584,39.98543448206992,-76.27491224541403
56-9,Conestoga Station,3292 Main Street,Conestoga,PA,17516,39.94105216296149,-76.34425561843241
56-4,Buck Station,897 Lancaster Pike,Quarryville,PA,17566,39.881874598057095,-76.23041158959896
56-5,Quarryville Station,325 Park Avenue,Quarryville,PA,17566,39.89101937719157,-76.1579787761068
