unit_designator,calls
AMB 06-7,5218
AMB 06-8,3452
MEDIC 56-1,3378
MEDIC 06-10,2953
AMB 06-1,2903
MEDIC 56-5,2747
MEDIC 06-20,2533
MEDIC 06-3,2255
MEDIC 06-7,2229
06-1,1856
MEDIC 06-1,1830
06-8,1770
AMB 56-12,1365
MEDIC 56-6,1238
MEDIC 06-8,1200
AMB 06-5,707
AMB 06-22,662
AMB 56-1,645
AMB 06-2,618
AMB 06-21,603
AMB 56-9,501
MEDIC 06-2,423
06-7,415
MEDIC 06-9,368
MEDIC 56-10,359
MEDIC 56-4,330
AMB 06-71,325
AMB 06-3,318
AMB 06-12,283
MICU 06-3,269
AMB 06-23,249
MICU 56-1,248
MEDIC 56-60,247
MICU 56-5,225
AMB 56-6,175
06-3,173
MEDIC 56-40,155
06-2,149
AMB 06-81,120
AMB 06-11,91
MICU 06-9,87
MICU 56-6,76
56-6,68
MICU 56-4,60
06-5,51
56-1,49
AMB 06-9,38
AMB 56-5,35
MEDIC 06-11,33
AMB 56-4,31
06-9,23
MEDIC 56-50,17
MEDIC 06-71,17
56-4,15
MEDIC 56-11,14
56-5,13
MEDIC 06-31,12
AMB 06-51,9
06-71,9
MEDIC 06-30,8
06-81,7
AMB 06-31,6
06-11,6
56-11,5
AMB 56-51,4
MEDIC 06-91,4
06-23,3
MEDIC 56-2,3
06-4,2
MEDIC 06-70,2
MEDIC 56-51,2
56-2,2
MEDIC 06-80,2
AMB 56-61,2
56-9,1
AMB 56-3,1
06-80,1
AMB 06-82,1
MEDIC 56-3,1
56-8,1
MEDIC 56-9,1
06-31,1
MICU 56-12,1
56-51,1
06-6,1
AMB 06-91,1
56-60,1
AMB 56-11,1
MEDIC 56-8,1
