unit_designator,unit_type,station_number,station_name,source,cad_calls,notes
AMB 06-1,AMB,06-1,East Station,discovered,2903.0,Discovered from CAD (2903 calls)
AMB 06-11,AMB,06-1,East Station,manual,91.0,East Station
MEDIC 06-1,MEDIC,06-1,East Station,discovered,1830.0,Discovered from CAD (1830 calls)
MEDIC 06-10,MEDIC,06-1,East Station,manual,2953.0,East Station
06-1,UNKNOWN,06-1,East Station,discovered,1856.0,Discovered from CAD (1856 calls)
AMB 06-2,AMB,06-2,George St Station,manual,618.0,George St Station
MEDIC 06-2,MEDIC,06-2,George St Station,discovered,423.0,Discovered from CAD (423 calls)
MEDIC 06-20,MEDIC,06-2,George St Station,manual,2533.0,George St Station
06-2,UNKNOWN,06-2,George St Station,discovered,149.0,Discovered from CAD (149 calls)
AMB 06-3,AMB,06-3,Columbia Ave Station,discovered,318.0,Discovered from CAD (318 calls)
MEDIC 06-3,MEDIC,06-3,Columbia Ave Station,manual,2255.0,Columbia Ave Station
MICU 06-3,MICU,06-3,Columbia Ave Station,discovered,269.0,Discovered from CAD (269 calls)
06-3,UNKNOWN,06-3,Columbia Ave Station,discovered,173.0,Discovered from CAD (173 calls)
AMB 06-5,AMB,06-5,Headquaters,manual,707.0,Headquarters
SUPPORT 06-5,SUPPORT,06-5,Headquaters,manual,,Mass Casualty Incident Trailer
SUPPORT 06-5,SUPPORT,06-5,Headquaters,manual,,Special Response Trailer
SUPPORT 06-5,SUPPORT,06-5,Headquaters,manual,,Maintenance Vehicle
SUPPORT 06-5,SUPPORT,06-5,Headquaters,manual,,Reserve Units
06-5,UNKNOWN,06-5,Headquaters,discovered,51.0,Discovered from CAD (51 calls)
AMB 06-7,AMB,06-7,LGH Station,manual,5218.0,LGH Station
MEDIC 06-7,MEDIC,06-7,LGH Station,discovered,2229.0,Discovered from CAD (2229 calls)
06-7,UNKNOWN,06-7,LGH Station,discovered,415.0,Discovered from CAD (415 calls)
AMB 06-8,AMB,06-8,Lancaster Township FD Station,discovered,3452.0,Discovered from CAD (3452 calls)
MEDIC 06-8,MEDIC,06-8,Lancaster Township FD Station,manual,1200.0,Lancaster Township FD Station
06-8,UNKNOWN,06-8,Lancaster Township FD Station,discovered,1770.0,Discovered from CAD (1770 calls)
AMB 06-9,AMB,06-9,WBH Station,discovered,38.0,Discovered from CAD (38 calls)
MEDIC 06-9,MEDIC,06-9,WBH Station,manual,368.0,WBH Station
MICU 06-9,MICU,06-9,WBH Station,discovered,87.0,Discovered from CAD (87 calls)
06-9,UNKNOWN,06-9,WBH Station,discovered,23.0,Discovered from CAD (23 calls)
AMB 56-1,AMB,56-1,Willow Valley Station,discovered,645.0,Discovered from CAD (645 calls)
AMB 56-12,AMB,56-1,Willow Valley Station,manual,1365.0,Willow Valley Station
MEDIC 56-1,MEDIC,56-1,Willow Valley Station,manual,3378.0,Willow Valley Station
MICU 56-1,MICU,56-1,Willow Valley Station,discovered,248.0,Discovered from CAD (248 calls)
56-1,UNKNOWN,56-1,Willow Valley Station,discovered,49.0,Discovered from CAD (49 calls)
AMB 56-4,AMB,56-4,Buck Station,discovered,31.0,Discovered from CAD (31 calls)
MEDIC 56-4,MEDIC,56-4,Buck Station,manual,330.0,Buck Station
MICU 56-4,MICU,56-4,Buck Station,discovered,60.0,Discovered from CAD (60 calls)
56-4,UNKNOWN,56-4,Buck Station,discovered,15.0,Discovered from CAD (15 calls)
AMB 56-5,AMB,56-5,Quarryville Station,discovered,35.0,Discovered from CAD (35 calls)
MEDIC 56-5,MEDIC,56-5,Quarryville Station,manual,2747.0,Quarryville Station
MICU 56-5,MICU,56-5,Quarryville Station,discovered,225.0,Discovered from CAD (225 calls)
56-5,UNKNOWN,56-5,Quarryville Station,discovered,13.0,Discovered from CAD (13 calls)
AMB 56-6,AMB,56-6,Strasburg Station,discovered,175.0,Discovered from CAD (175 calls)
MEDIC 56-6,MEDIC,56-6,Strasburg Station,manual,1238.0,Strasburg Station
MICU 56-6,MICU,56-6,Strasburg Station,discovered,76.0,Discovered from CAD (76 calls)
56-6,UNKNOWN,56-6,Strasburg Station,discovered,68.0,Discovered from CAD (68 calls)
AMB 56-9,AMB,56-9,Conestoga Station,manual,501.0,Conestoga Station
MEDIC 56-9,MEDIC,56-9,Conestoga Station,discovered,1.0,Discovered from CAD (1 calls)
56-9,UNKNOWN,56-9,Conestoga Station,discovered,1.0,Discovered from CAD (1 calls)
