unit_designator,unit_type,station_number,notes
MEDIC 06-9,MEDIC,06-9,"WBH Station"
MEDIC 06-3,MEDIC,06-3,"Columbia Ave Station"
AMB 06-7,AMB,06-7,"LGH Station"
MEDIC 06-8,MEDIC,06-8,"Lancaster Township FD Station"
AMB 06-5,AMB,06-5,"Headquarters"
SUPPORT 06-5, SUPPORT,06-5,"Mass Casualty Incident Trailer"
SUPPORT 06-5, SUPPORT,06-5,"Special Response Trailer"
SUPPORT 06-5, SUPPORT,06-5,"Maintenance Vehicle"
SUPPORT 06-5, SUPPORT,06-5,"Reserve Units"
MEDIC 06-10,MEDIC,06-10,"East Station"
AMB 06-11,AMB,06-10,"East Station"
MEDIC 06-20,MEDIC,06-2,"George St Station"
AMB 06-2,AMB,06-2,"George St Station"
MEDIC 56-1,MEDIC,56-1,"Willow Valley Station"
AMB 56-12,AMB,56-1,"Willow Valley Station"
MEDIC 56-6,MEDIC,56-6,"Strasburg Station"
AMB 56-9,AMB,56-9,"Conestoga Station"
MEDIC 56-4,MEDIC,56-4,"Buck Station"
MEDIC 56-5,MEDIC,56-5,"Quarryville Station"
