variant_id,base_variant_id,policy,kwargs,complexity,note,mean_resp_time,p50_resp_time,p90_resp_time,coverage_loss_mean,coverage_loss_p90,fairness_gap,als_mismatch_rate,unit_area_mismatch_rate,shifts,total_calls,w_avg_p50_resp_min,w_avg_p90_resp_min,w_avg_avg_resp_min,units,n_runs,mean_resp_time_norm,p50_resp_time_norm,p90_resp_time_norm,coverage_loss_mean_norm,coverage_loss_p90_norm,fairness_gap_norm,als_mismatch_rate_norm,unit_area_mismatch_rate_norm,shifts_norm,total_calls_norm,w_avg_p50_resp_min_norm,w_avg_p90_resp_min_norm,w_avg_avg_resp_min_norm,units_norm
baseline_p1,baseline_p1,nearest_eta,{},1,baseline,5.991441292319144,4.346465107111454,10.974747988742095,0.0,0.0,,,,2713.0,63185.0,4.903203861828523,10.610336468660284,5.921021935070065,30.0,1,1.0,1.0,1.0,1.0,1.0,,,,0.5,0.5,0.0022753711578829185,0.0,0.0,0.5
baseline_p2,baseline_p2,p2_als_bls,{},2,baseline,6.121816116756144,4.393894597871109,11.294899505642825,0.0,0.0,,,,2713.0,63185.0,4.941902338510967,10.957292239166648,6.049053378986073,30.0,1,0.9429497626008999,0.9812520172425849,0.9460567782711989,1.0,1.0,,,,0.5,0.5,0.02516395579654174,0.0633322413204651,0.05591248198425101,0.5
baseline_p3,baseline_p3,p3_coverage,{},3,baseline,8.276704779041404,6.876310124218458,16.909720106467795,0.8219719014178618,2.5,3.7680109752484494,,0.1173530173530173,2713.0,63185.0,6.590089437948141,16.08867993594334,8.210876353481892,30.0,1,0.0,0.0,0.0,0.22054658089278656,0.0,1.0,,0.0,0.5,0.5,1.0,1.0,1.0,0.5
baseline_p4,baseline_p4,p4_fairness,{},3,baseline,6.193000843983013,4.360313829626808,11.48513107910182,0.0,0.0,5.818164512645795,,0.0305636137588064,2713.0,63185.0,4.918228627664276,11.193068047056135,6.1188406067548,30.0,1,0.9118003010003173,0.994525861299128,0.9140041300555756,1.0,1.0,0.0,,1.0,0.5,0.5,0.011161912799551327,0.10637003354681093,0.08638919142376579,0.5
baseline_p5,baseline_p5,p5_hybrid,{},4,baseline,6.10452076380815,4.382610890329136,11.273034469541509,0.7215218853476821,1.0,4.737686941801258,,0.0597469206957738,2713.0,63185.0,4.940990031687963,10.924383951813883,6.032483852425044,30.0,1,0.9505179721524387,0.9857122539233583,0.9497408791679853,0.3158005772157984,0.6,0.5270227576302381,,0.6637457370554622,0.5,0.5,0.02462436318916078,0.057325263563540105,0.048676420849621684,0.5
ff_als,ff_als,feature_flag,{'use_als_guard': True},2,bottom_up,6.1170910859520875,4.3988154467902465,11.2666332092169,0.0,0.0,4.722312027206211,,,2713.0,63185.0,4.951010072772222,10.918046478455803,6.04358978780282,30.0,1,0.9450173713609006,0.9793068985156026,0.9508194453680674,1.0,1.0,0.5345221542922879,,,0.5,0.5,0.03055081244766498,0.05616844063048967,0.05352648262144321,0.5
ff_als_coverage,ff_als_coverage,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True}",3,bottom_up,6.427638684356847,4.524352953517554,11.7903022194314,0.0,0.0,4.94799902586476,,,2713.0,63185.0,5.068044726916428,11.740160457823194,6.352537432784406,30.0,1,0.8091259959422281,0.9296842908544954,0.8625849937435212,1.0,1.0,0.42443918024096033,,,0.5,0.5,0.09977207945043241,0.20623460283391792,0.18844669523297808,0.5
ff_als_coverage_2,ff_als_coverage,feature_flag,"{'use_als_guard': True, 'use_coverage_call': True}",3,bottom_up,6.1779334076746375,4.535064434422347,11.375992037640165,0.0,0.0,4.806892557516824,,,2713.0,63185.0,5.057347347736214,11.002158207453698,6.105817259049684,30.0,1,0.9183936047466553,0.9254502445661413,0.9323932714528358,1.0,1.0,0.4932664489181492,,,0.5,0.5,0.09344501208839255,0.07152193744941211,0.08070177845969255,0.5
ff_als_coverage_coverage,ff_als_coverage_coverage,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True}",4,bottom_up,6.312434009606,4.593435771082731,11.604341009264894,0.0,0.0,4.96285234834632,,,2713.0,63185.0,5.098647506194829,11.384968844569253,6.239894505220399,30.0,1,0.8595379836277637,0.9023771565842007,0.8939181165413694,1.0,1.0,0.4171941997013977,,,0.5,0.5,0.11787238632916922,0.1413990160593457,0.13925451661311072,0.5
ff_als_coverage_coverage_fairness,ff_als_coverage_coverage_fairness,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True}",5,bottom_up,6.458530415198504,4.744413561111874,11.755802232633071,0.0,0.0,5.140917857582648,,,2713.0,63185.0,5.230083888323544,11.705051264554347,6.388850034782266,30.0,1,0.7956081976571976,0.84269848496273,0.8683979927120065,1.0,1.0,0.33033948078001313,,,0.5,0.5,0.1956116932698221,0.19982587846705038,0.20430473481221237,0.5
