station_number,page_x,page_y,lon,lat,label,dx_m,dy_m,resid_m,inlier
56-1,1585.9176025390625,769.8961181640625,-76.27491224541403,39.98543448206992,AMB 56-1,405.0657004335444,-559.7160538742963,690.9126447188039,False
56-4,1806.2353515625,1430.6256713867188,-76.23041158959896,39.881874598057095,AMB 56-4,47.22076394885414,-69.56326261265889,84.076441725558,True
56-5,2171.5113525390625,1355.9845581054688,-76.1579787761068,39.89101937719157,AMB 56-5,-15.519021409516414,44.89383488095757,47.50048879567147,True
56-6,2017.193115234375,740.375732421875,-76.18568937425025,39.983812206707675,AMB 56-6,-5.614844967492715,-16.041456261434206,16.995728963374443,True
56-9,1209.601318359375,1038.9400329589844,-76.34425561843241,39.94105216296149,AMB 56-9,-48.75998071746535,22.05417101663201,53.51562555738692,True
6-1,1507.6783447265625,400.7708740234375,-76.25433641842815,40.03576920430254,AMB 06-1,-2522.7372447948997,-10.897792670005032,2522.760782983682,False
6-2,1147.2020263671875,611.73388671875,-76.35648418774129,40.00252495941176,AMB 06-2,105.88203199449958,291.3742546512977,310.0160656689965,True
6-3,1016.6432495117188,378.2103271484375,-76.37979500308371,40.04033860807688,AMB 06-3,0.8281281366564875,-1.1756586700122682,1.4380436429737318,True
6-7,1399.439453125,322.5296630859375,-76.30438198270724,40.04714417759513,AMB 06-7,-30.79783843726985,53.77593450015695,61.97062194115327,True
6-8,1281.840576171875,483.3319091796875,-76.32781914541216,40.02744881187077,AMB 06-8,-49.14169805849832,-389.02390027710953,392.1154185630643,False
6-9,1163.2818603515625,215.96812438964844,-76.3511851607547,40.06538678948616,AMB 06-9,62.54780601481955,-137.8581424406637,151.3839340037701,True
