n_calls,missed_calls,p50_resp_min,p90_resp_min,avg_resp_min,p50_wait_min,p90_wait_min,avg_onscene_min,avg_transport_min,avg_turnaround_min,units,legs,avg_road_factor,avg_hour_mult,avg_zone_mult,segment
14,0,2.963174386720803,4.141287779640194,3.0815287275102845,0.0,0.0,16.843672713971646,5.903954945934514,29.03051041483507,46,643,1.4500000000000162,1.0723172628304865,1.0,2023-01-16_S2
4,0,5.850599912818195,12.84944105717535,7.400268947043602,0.0,0.0,17.149462621547933,21.430867839486538,26.961552423290108,46,186,1.349999999999996,1.0,1.0,2023-01-17_S0
12,0,4.067057424469633,6.747373599039719,4.8175876295614195,0.0,0.0,18.05553172005547,8.417905704909487,30.355513546050815,46,532,1.5499999999999876,1.1074248120300711,1.0,2023-01-17_S1
11,0,3.755118035109482,5.8637850312039195,4.711235173895165,0.0,0.0,17.346461324576588,8.830282056236003,30.63256266730284,46,500,1.4500000000000077,1.20009999999999,1.0,2023-01-17_S2
16,0,3.4893917823906637,8.522556758563606,4.4528913354342246,0.0,0.0,19.147086380256873,10.833280667121333,26.35938095058731,46,728,1.3500000000000156,1.0451236263736308,1.0,2023-01-18_S0
10,0,2.891962381274491,3.6438613906107524,2.878814359876613,0.0,0.0,22.86297215804255,3.10194893187824,34.59694700390783,46,463,1.5499999999999925,1.1098272138229026,1.0,2023-01-18_S1
3,0,1.9123249709141765,2.77439301208509,2.1717377692764424,0.0,0.0,16.865128838234856,2.005295720629477,33.41757864382746,46,141,1.4499999999999968,1.0,1.0,2023-01-18_S2
13,0,2.925555016384255,4.836422634057987,4.1098958307147395,0.0,0.0,20.882161043073918,5.205869576058541,22.020370280587503,46,604,1.3500000000000143,1.0391556291390815,1.0,2023-01-19_S0
10,0,3.828090627658086,12.839701255755966,5.731733326555001,0.0,0.0,21.27396876215323,11.405787127615302,29.603932762976257,46,465,1.5499999999999925,1.0944086021505377,1.0,2023-01-19_S1
33,0,3.2910977756468363,5.838203824988605,4.024322965807229,0.0,0.0,22.142497983236645,8.96142944476243,27.46339604045157,46,1423,1.4500000000000306,1.1265635980323288,1.0,2023-01-19_S2
17,0,2.874807055412867,3.9431962479888503,3.289091974056671,0.0,0.0,20.91519013554617,5.38773104677364,22.644083172822533,46,763,1.3500000000000154,1.0031454783748333,1.0,2023-01-20_S0
12,0,3.295894168962248,4.474967748739686,3.4014967380568533,0.0,0.0,19.08272494870143,4.258644439289449,31.73095377622347,46,550,1.5499999999999865,1.1040909090909177,1.0,2023-01-20_S1
20,0,3.3826422551850905,4.80133970275255,3.4553319589029656,0.0,0.0,18.745433497402367,5.401023647156947,34.08290650336255,46,888,1.4500000000000242,1.178434684684689,1.0,2023-01-20_S2
15,0,3.0592789320285068,7.112903217252919,4.6471944212286616,0.0,0.0,23.08840468979466,10.447698600456228,25.09717239807545,46,691,1.3500000000000154,1.0526049204052217,1.0,2023-01-21_S0
8,0,3.5536366585344856,8.229602034163108,4.940058509363175,0.0,0.0,17.76521161343741,11.609272741129915,26.522150704354107,46,373,1.5500000000000018,1.0693029490616708,1.0,2023-01-21_S1
20,0,2.965849706109435,7.493327466918576,3.893808135029359,0.0,0.0,22.880095286445624,8.385669845380297,28.235610526242397,46,904,1.4500000000000246,1.1430862831858346,1.0,2023-01-21_S2
13,0,3.0003072288828987,7.185043434123858,4.95067507339273,0.0,0.0,22.21419573530835,7.698084530218754,24.123268680930963,46,603,1.3500000000000143,1.0913764510779576,1.0,2023-01-22_S0
16,0,3.097312288115553,9.096365551674543,4.201816833629218,0.0,0.0,18.905516946269785,7.3749818849258695,28.709850247641633,46,729,1.549999999999979,1.087654320987659,1.0,2023-01-22_S1
8,0,2.7527593845832463,9.29140383551271,5.249327107283703,0.0,0.0,22.57421827509957,10.675885809804914,24.92645523936532,46,361,1.4499999999999933,1.096952908587256,1.0,2023-01-22_S2
23,0,3.3579390987493616,5.154065063922569,3.696612799588092,0.0,0.0,24.001097119832366,4.572108691950257,30.055061576511676,46,1043,1.3499999999999868,1.0383029721955959,1.0,2023-01-23_S0
4,0,12.239210206609052,14.41448055904955,10.573199028512065,0.0,0.0,15.757303758641589,19.342571519275772,30.176804154084685,46,186,1.5500000000000052,1.1478494623655962,1.0,2023-01-23_S1
10,0,4.270621502018885,11.763091572145226,6.573143529192182,0.0,0.0,18.095618244666912,14.342445364586727,27.24989043690784,46,457,1.4500000000000042,1.0154266958424507,1.0,2023-01-23_S2
12,0,3.185448545560866,4.387804289497783,4.834468209015378,0.0,0.0,21.202378643633033,6.938122927491714,26.655551702411405,46,542,1.3500000000000132,1.0175276752767568,1.0,2023-01-24_S0
19,0,3.3608801269387847,6.902104899641056,4.587658967973327,0.0,0.0,22.045338594132307,9.911345606067645,26.515521751900376,46,856,1.5499999999999752,1.089894859813082,1.0,2023-01-24_S1
32,0,3.316409711756462,4.803935147630907,4.463704301286266,0.0,0.0,19.103807541211737,8.538471867742864,33.36691507477393,46,1397,1.450000000000032,1.1068002863278394,1.0,2023-01-24_S2
11,0,3.583917864811246,5.218895713721301,3.791133219121525,0.0,0.0,22.04524519459141,6.5742712458216515,24.452003665198916,46,509,1.3500000000000127,1.0328094302554063,1.0,2023-01-25_S0
14,0,3.149725948393435,5.778839344509072,4.064761906500691,0.0,0.0,18.425353971449017,10.125387972305061,30.590181277631107,46,646,1.5499999999999818,1.103173374613003,1.0,2023-01-25_S1
25,0,3.3805574134190035,9.081791295496934,4.625436174330413,0.0,0.0,21.71997217344283,13.058970638919774,30.53345068523622,46,1058,1.4500000000000277,1.1579395085066142,1.0,2023-01-25_S2
9,0,2.8686560339814027,4.346830505203089,3.296273130433641,0.0,0.0,18.002132413650216,8.260306604938178,23.90418079842494,46,415,1.3500000000000103,1.0,1.0,2023-01-26_S0
18,0,4.247472176929319,13.789719426531073,5.949406941610057,0.0,0.0,21.310651130139338,12.252142138204128,29.24179467453079,46,814,1.5499999999999763,1.1076167076167136,1.0,2023-01-26_S1
26,0,4.868561636309028,16.739238726835048,7.586818467647768,0.0,0.0,20.583052683410457,17.79205597486152,31.806420552091463,46,1124,1.4500000000000286,1.1144128113878946,1.0,2023-01-26_S2
12,0,5.350666083686264,10.429954233999116,5.865205753830616,0.0,0.0,23.56367205027797,13.019815619265502,21.702630191980663,46,516,1.3500000000000127,1.0,1.0,2023-01-27_S0
14,0,4.047120724348346,11.788140384757153,5.924307124555843,0.0,0.0,18.059844569327854,14.970824902931252,28.754198381420316,46,639,1.549999999999982,1.1017996870109479,1.0,2023-01-27_S1
31,0,3.2520776764833172,8.159759260762854,4.6148527178048955,0.0,0.0,21.84104887666035,9.696728678353603,25.74215929779505,46,1351,1.4500000000000315,1.1066617320503278,1.0,2023-01-27_S2
15,0,2.8494035063678087,3.7548818529976673,3.1124627423783386,0.0,0.0,21.02333270380269,6.01239209814881,25.595481073879647,46,696,1.3500000000000154,1.04375000000001,1.0,2023-01-28_S0
22,0,3.1809848206458273,6.384840960078795,3.66498534087096,0.0,0.0,17.244999795384075,6.974372436221134,29.999764063965177,46,1004,1.5499999999999723,1.1119023904382546,1.0,2023-01-28_S1
15,0,3.320679591837318,5.362988957780525,3.7106235674409143,0.0,0.0,19.340966250958783,7.537825763582655,24.052934507098694,46,675,1.4500000000000175,1.0859999999999992,1.0,2023-01-28_S2
22,0,3.557149136620521,8.427458082458752,4.857090092211849,0.0,0.0,21.15060647490189,9.651104894469292,28.73383559303937,46,982,1.3499999999999917,1.0261201629327934,1.0,2023-01-29_S0
