segment,hour,n,mean,p50,p90
2023-01-17_S0,0,3,27.53907089305656,24.52278101124566,34.942801854052895
2023-01-20_S0,0,4,30.182526387696633,31.37767914321831,38.37749129507913
2023-01-21_S0,0,1,18.733849306401893,18.733849306401893,18.733849306401893
2023-01-22_S0,0,1,58.416314989538066,58.416314989538066,58.416314989538066
2023-01-23_S0,0,4,30.369097875910306,23.04348836002645,48.71784469442085
2023-01-24_S0,0,4,35.27749943803698,33.27516389269108,54.22335338370529
2023-01-25_S0,0,2,22.62701737965032,22.62701737965032,24.057225205797618
2023-01-26_S0,0,5,30.77161566351678,27.842778253788786,51.046326520570545
2023-01-27_S0,0,3,19.126677888733536,21.40422461842492,22.44763636861484
2023-01-28_S0,0,2,19.056593470024954,19.056593470024954,24.26718729527992
2023-01-29_S0,0,6,24.598776715861234,21.453224215434304,35.35725149074257
2023-01-30_S0,0,2,24.377664322112167,24.377664322112167,28.85940712463541
2023-02-01_S0,0,4,24.34454615217194,22.613795797407402,32.59751345253502
2023-02-02_S0,0,4,29.189625206081132,23.56731677196281,45.248805840762486
2023-02-03_S0,0,2,16.802572246619373,16.802572246619373,18.330797129979278
2023-02-04_S0,0,4,41.351338031505264,41.1840432968681,55.41650110343824
2023-02-06_S0,0,6,25.688719913248573,24.912914981144162,33.85954738453384
2023-02-08_S0,0,3,18.484968277240938,17.984749943985676,20.649406501426725
2023-02-09_S0,0,1,57.97097927018076,57.97097927018076,57.97097927018076
2023-02-10_S0,0,3,21.216248906266944,21.159634115786794,25.9976623320016
2023-02-11_S0,0,5,19.204636390385613,16.778515743761904,25.2033548023114
2023-02-17_S0,0,1,30.03366222248577,30.03366222248577,30.03366222248577
2023-02-20_S0,0,2,20.522293547417387,20.522293547417387,25.830160250034503
2023-02-21_S0,0,3,25.287274020278094,17.60242567128985,37.242355452059364
2023-02-22_S0,0,3,40.76621609436281,45.5868905589793,55.23738770215809
2023-02-24_S0,0,3,18.67510744732287,20.0402676262429,22.863624621386478
2023-02-26_S0,0,7,24.16068568170528,23.16935797671401,36.31824717906406
2023-02-28_S0,0,2,21.661414989345538,21.661414989345538,28.690548862988905
2023-03-02_S0,0,5,24.259744242255813,22.1781098355951,30.765503353819664
2023-03-03_S0,0,1,27.03977804310309,27.03977804310309,27.03977804310309
2023-03-07_S0,0,4,25.994513422909996,27.077814216442807,36.56952550371204
2023-03-08_S0,0,2,25.714633961077965,25.714633961077965,28.699871998422374
2023-03-09_S0,0,2,12.265754382890924,12.265754382890924,12.453770401107473
2023-03-13_S0,0,1,18.838613253679846,18.838613253679846,18.838613253679846
2023-03-14_S0,0,5,18.35981248511856,18.9910717950436,23.063248581026215
2023-03-15_S0,0,3,22.389132046045365,18.043380168285992,30.364842957430305
2023-03-16_S0,0,2,28.071834620488396,28.071834620488396,35.85755546255725
2023-03-18_S0,0,2,36.53867859111637,36.53867859111637,55.427182329114004
2023-03-19_S0,0,2,22.90544340954009,22.90544340954009,25.463262325716414
2023-03-20_S0,0,5,21.710146465870185,23.850095536718186,28.788938217291903
2023-03-21_S0,0,2,30.00645045460426,30.00645045460426,34.78042509671297
2023-03-22_S0,0,4,22.04544530039,17.146517687998905,35.584084754280475
2023-03-23_S0,0,2,28.58358894559486,28.58358894559486,35.67356666156177
2023-03-25_S0,0,2,26.01496319442024,26.01496319442024,34.5684681073013
2023-03-27_S0,0,1,23.55497096551824,23.55497096551824,23.55497096551824
2023-03-28_S0,0,2,24.047667511947985,24.047667511947985,27.210981936287457
2023-04-01_S0,0,3,27.36073546525846,22.726401243723352,35.8060681974054
2023-04-04_S0,0,1,44.519806334377556,44.519806334377556,44.519806334377556
2023-04-08_S0,0,2,14.470175542188809,14.470175542188809,15.174305195036979
2023-04-11_S0,0,2,24.9172831040551,24.9172831040551,26.46910414622808
2023-04-12_S0,0,6,22.17486875288453,20.415866124763006,27.73437941413647
2023-04-13_S0,0,3,25.050557400883747,27.92006221025212,27.9691146012791
2023-04-14_S0,0,3,22.883020552127835,24.605409048013364,25.175220082002568
2023-04-15_S0,0,2,36.53396542965935,36.53396542965935,46.58343858112129
2023-04-18_S0,0,2,26.45125096449575,26.45125096449575,33.17653838651163
2023-04-19_S0,0,2,23.887938473502587,23.887938473502587,28.618064626377056
2023-04-20_S0,0,1,19.762136227805872,19.762136227805872,19.762136227805872
2023-04-26_S0,0,3,23.262911324835926,23.588702614047435,26.851917759632066
2023-04-27_S0,0,3,28.353580125824625,18.35323074248455,44.27276154910191
2023-04-28_S0,0,4,18.52796613452907,19.18745719944997,23.072669727533825
2023-04-30_S0,0,7,26.201831002084873,20.15365235130785,42.85706067794085
2023-05-01_S0,0,2,26.90614227224863,26.90614227224863,27.297911586049583
2023-05-04_S0,0,5,22.266278515471207,18.0460487029429,33.0853426146259
2023-05-08_S0,0,3,16.51975588662999,16.941967423322545,17.64769493651062
2023-05-09_S0,0,2,19.069856206296997,19.069856206296997,21.58831142158981
2023-05-10_S0,0,3,26.373232519511856,25.824313788910302,28.745250919473072
2023-05-11_S0,0,4,19.748803869913477,19.964287820818562,22.28953749586343
2023-05-12_S0,0,1,22.62603092033725,22.62603092033725,22.62603092033725
2023-05-13_S0,0,4,24.414836865322435,23.246396647316082,31.912141980723902
2023-05-14_S0,0,4,29.588822817044797,30.071619982083433,35.7032375039868
2023-05-18_S0,0,1,15.268576520649741,15.268576520649741,15.268576520649741
2023-05-26_S0,0,3,20.47443822540607,20.18843157826398,25.147186789207666
2023-05-27_S0,0,2,33.69399080765345,33.69399080765345,39.92501021650345
2023-05-29_S0,0,1,13.493278042525027,13.493278042525027,13.493278042525027
2023-05-30_S0,0,7,25.585851914544033,26.682137559027552,32.10120580882818
2023-06-01_S0,0,1,20.97377047226372,20.97377047226372,20.97377047226372
2023-06-05_S0,0,1,16.42235934902233,16.42235934902233,16.42235934902233
2023-06-17_S0,0,4,16.22688046595922,16.63135397882888,20.500973274296562
2023-06-19_S0,0,1,46.89292989289308,46.89292989289308,46.89292989289308
2023-06-22_S0,0,4,27.23575231151493,27.27384336661931,39.83313285821777
2023-06-26_S0,0,5,26.979009590664145,25.009551013817408,34.070985227286755
2023-07-02_S0,0,1,23.809253047239885,23.809253047239885,23.809253047239885
2023-07-03_S0,0,4,20.762876913203883,15.433673039870307,32.856489068214245
2023-07-04_S0,0,6,17.559471169260018,16.349080280051687,21.773933345019472
2023-07-05_S0,0,3,23.806468365249355,20.351852787220132,32.16320206255855
2023-07-07_S0,0,2,15.301880713595427,15.301880713595427,17.640698444941588
2023-07-09_S0,0,2,19.176903037478713,19.176903037478713,24.44378574521271
2023-07-12_S0,0,4,28.201178882581626,26.009855615926945,38.425601045091625
2023-07-13_S0,0,1,18.796942802763787,18.796942802763787,18.796942802763787
2023-07-16_S0,0,2,19.107148186714554,19.107148186714554,22.97973127617669
2023-07-17_S0,0,3,20.68709320233485,17.573624637843093,25.527868855204453
2023-07-19_S0,0,1,18.112647265262382,18.112647265262382,18.112647265262382
2023-07-23_S0,0,3,30.297508295905605,33.07345374895188,38.03302093916641
2023-07-24_S0,0,1,55.33632860603567,55.33632860603567,55.33632860603567
2023-07-31_S0,0,2,31.202303945670412,31.202303945670412,43.399547167603
2023-08-03_S0,0,1,14.496014882950666,14.496014882950666,14.496014882950666
2023-08-05_S0,0,2,21.676199384101963,21.676199384101963,27.4696914295295
2023-08-09_S0,0,5,22.851841363100977,20.61570769189737,34.00602586240561
2023-08-10_S0,0,6,24.430487323784018,22.14153332565543,34.06433790060126
2023-08-11_S0,0,3,27.724893822674233,30.561780920259178,34.36822585843279
2023-08-13_S0,0,4,20.763126687766402,16.7917536669607,31.151056322164514
2023-08-14_S0,0,7,25.565794822497313,25.370005662902138,36.202170899002844
2023-08-15_S0,0,3,21.15807111334627,14.96728888175021,32.98256402825001
2023-08-16_S0,0,4,21.288946289521277,18.637071658197822,31.273697608251204
2023-08-17_S0,0,4,27.5138438501434,27.57232239886469,35.6671398638819
2023-08-21_S0,0,6,22.904532082053763,22.40899212966225,27.35527167171194
2023-08-22_S0,0,1,39.340863753160505,39.340863753160505,39.340863753160505
2023-08-27_S0,0,2,25.95651093834384,25.95651093834384,29.84947711268187
2023-08-28_S0,0,6,23.400981711472053,21.327178495447598,35.66161795320377
2023-08-31_S0,0,1,22.09308299640208,22.09308299640208,22.09308299640208
2023-09-01_S0,0,1,18.833971103579078,18.833971103579078,18.833971103579078
2023-09-02_S0,0,5,26.592495508380512,25.652324999668025,38.79555612856042
2023-09-03_S0,0,3,21.621676555348646,24.370220710593614,24.93047104813875
2023-09-04_S0,0,6,25.707094776250784,20.793024742873357,41.994614732961765
2023-09-05_S0,0,1,37.50490407459053,37.50490407459053,37.50490407459053
2023-09-07_S0,0,4,25.778182826074943,19.549563012176616,39.77862178716455
2023-09-09_S0,0,1,13.914773104328141,13.914773104328141,13.914773104328141
2023-09-11_S0,0,2,30.246746258106704,30.246746258106704,33.06138748217869
2023-09-12_S0,0,6,27.340776786241424,29.85648989036661,33.86054360820427
2023-09-13_S0,0,3,21.18561408918738,18.375757601082995,27.992347337155838
2023-09-14_S0,0,2,25.04339109690902,25.04339109690902,35.972955661767834
2023-09-19_S0,0,1,34.19539616267809,34.19539616267809,34.19539616267809
2023-09-20_S0,0,4,28.426889113941087,28.737566442968376,41.484987710112364
2023-09-21_S0,0,1,18.753232481078342,18.753232481078342,18.753232481078342
2023-09-25_S0,0,2,23.527688448676862,23.527688448676862,27.48255503321567
2023-09-26_S0,0,1,19.91393788199402,19.91393788199402,19.91393788199402
2023-09-28_S0,0,1,17.543866397459553,17.543866397459553,17.543866397459553
2023-09-29_S0,0,2,17.18940439401546,17.18940439401546,18.36475729909353
2023-09-30_S0,0,5,24.828676715948514,21.337716217894595,38.07407468809524
2023-10-01_S0,0,3,18.850852301063778,20.491908601911657,23.455076167179328
2023-10-03_S0,0,4,24.094311386631905,27.205608803085504,29.13541455392296
2023-10-04_S0,0,14,23.976405869920875,22.449903066230302,30.049934819749183
2023-10-05_S0,0,2,22.459939877513108,22.459939877513108,26.73939680641262
2023-10-10_S0,0,1,11.393063322936426,11.393063322936426,11.393063322936426
2023-10-12_S0,0,4,27.75794852705652,23.90546391242153,39.830103702785046
2023-10-15_S0,0,1,18.252976573042115,18.252976573042115,18.252976573042115
2023-10-17_S0,0,3,21.976143042194394,24.01786817844597,26.217982563943323
2023-10-20_S0,0,3,22.90093769649251,25.451261763212123,26.91018587609206
2023-10-21_S0,0,1,18.07283511187889,18.07283511187889,18.07283511187889
2023-10-22_S0,0,3,29.219457021010793,28.231876411772344,37.329377164053625
2023-10-23_S0,0,4,26.24754071654613,25.127228899497332,33.438524830088966
2023-10-24_S0,0,2,16.252192816692546,16.252192816692546,18.407203682552534
2023-10-25_S0,0,2,21.226868102180564,21.226868102180564,26.16492271481621
2023-10-26_S0,0,4,26.929085671164238,26.290385452948353,35.214315497121184
2023-10-28_S0,0,4,23.629360042839835,18.771471711599016,33.72606762490238
2023-10-29_S0,0,4,22.347833921332363,25.072785431572825,26.53035287345547
2023-10-30_S0,0,1,36.007939913189276,36.007939913189276,36.007939913189276
2023-10-31_S0,0,2,28.171610563377985,28.171610563377985,38.02444721907852
2023-11-02_S0,0,7,23.303829316115184,25.736559536652596,30.5001002872765
2023-11-06_S0,0,3,16.331865793844447,13.399991965346336,20.822640097699075
2023-11-08_S0,0,2,28.491835307308868,28.491835307308868,38.91718492025353
2023-11-09_S0,0,2,18.601992928965615,18.601992928965615,21.77797528174623
