n_calls,missed_calls,p50_resp_min,p90_resp_min,avg_resp_min,units,legs,avg_road_factor,avg_hour_mult,avg_zone_mult,segment,policy_id
14,0,2.999953869373953,3.987006933775501,3.0372619420587896,46,645,1.4500000000000162,1.0720930232558181,1.0,2023-01-16_S2,least_busy
4,0,5.7921350517444985,12.518619723675252,7.253659492663532,46,186,1.349999999999996,1.0,1.0,2023-01-17_S0,least_busy
12,0,4.043850513277166,6.508505897781952,4.716375423227943,46,529,1.5499999999999878,1.1072778827977274,1.0,2023-01-17_S1,least_busy
11,0,3.8089466354787946,5.849515759414715,4.767026140150185,46,503,1.450000000000008,1.2000994035785186,1.0,2023-01-17_S2,least_busy
16,0,3.4128032044804195,8.611221306609636,4.461526359557092,46,727,1.3500000000000156,1.0451856946354927,1.0,2023-01-18_S0,least_busy
10,0,2.9409077921589106,3.724119795612664,2.916453936746625,46,466,1.5499999999999923,1.1099785407725402,1.0,2023-01-18_S1,least_busy
3,0,1.8909330368718997,2.7271040967939384,2.1468218450160905,46,141,1.4499999999999968,1.0,1.0,2023-01-18_S2,least_busy
13,0,2.9609619253482427,4.8131863827892225,4.141424767990717,46,603,1.3500000000000143,1.0392205638474383,1.0,2023-01-19_S0,least_busy
10,0,3.7893229834615108,13.117899536686245,5.835417189561424,46,465,1.5499999999999925,1.0946236559139786,1.0,2023-01-19_S1,least_busy
33,0,3.283642167402075,6.016942476051262,4.027857061302757,46,1428,1.45000000000003,1.126890756302523,1.0,2023-01-19_S2,least_busy
17,0,2.8918760292589054,3.8122499243903185,3.2231615291655955,46,762,1.3500000000000156,1.0031496062992098,1.0,2023-01-20_S0,least_busy
12,0,3.312219030502236,4.241865252123283,3.333412090023108,46,555,1.5499999999999863,1.1039639639639727,1.0,2023-01-20_S1,least_busy
20,0,3.229803099518261,4.796723367146919,3.448608764078221,46,890,1.4500000000000244,1.1784831460674199,1.0,2023-01-20_S2,least_busy
15,0,3.043331462207802,7.106709936793665,4.640782028562875,46,690,1.3500000000000154,1.052391304347838,1.0,2023-01-21_S0,least_busy
8,0,3.62742045875338,8.106313626754847,4.893827229229601,46,374,1.5500000000000016,1.0691176470588322,1.0,2023-01-21_S1,least_busy
20,0,2.989583463713452,7.371254820158107,3.904913620948645,46,908,1.4500000000000246,1.1433370044052802,1.0,2023-01-21_S2,least_busy
13,0,2.998543723603369,7.363063757013283,4.944671947305512,46,607,1.3500000000000143,1.0915980230642648,1.0,2023-01-22_S0,least_busy
16,0,3.1417128330154718,8.840391159125696,4.2323831864706145,46,728,1.549999999999979,1.0874313186813236,1.0,2023-01-22_S1,least_busy
8,0,2.740298570912001,9.0175086368793,5.126197042373866,46,366,1.449999999999994,1.0983606557377033,1.0,2023-01-22_S2,least_busy
23,0,3.294337625723861,5.261519717607237,3.679302687991408,46,1041,1.349999999999987,1.0378001921229647,1.0,2023-01-23_S0,least_busy
4,0,12.626614026242997,15.599952200578679,11.167771697386264,46,187,1.5500000000000054,1.1483957219251386,1.0,2023-01-23_S1,least_busy
10,0,4.544181374298086,12.158136855158501,6.612285563324933,46,457,1.4500000000000042,1.0154266958424507,1.0,2023-01-23_S2,least_busy
12,0,3.113867877137274,4.4381147498384195,4.790648669093718,46,548,1.3500000000000134,1.0173357664233615,1.0,2023-01-24_S0,least_busy
19,0,3.3171631458835247,6.850485965430844,4.562213052976199,46,852,1.5499999999999754,1.0896126760563358,1.0,2023-01-24_S1,least_busy
32,0,3.323212137076113,5.170582280497457,4.480765264962265,46,1394,1.450000000000032,1.1079268292682871,1.0,2023-01-24_S2,least_busy
11,0,3.553145465712601,4.9710296152450235,3.76417304578237,46,513,1.3500000000000127,1.0323586744639415,1.0,2023-01-25_S0,least_busy
14,0,3.154027379084014,6.092793221957398,4.1682182751825545,46,638,1.549999999999982,1.1025078369905958,1.0,2023-01-25_S1,least_busy
25,0,3.401931904797509,9.146816458819455,4.641169796372548,46,1050,1.4500000000000275,1.1578571428571416,1.0,2023-01-25_S2,least_busy
9,0,2.802926693549619,4.465984038047106,3.367689803721691,46,416,1.3500000000000105,1.0,1.0,2023-01-26_S0,least_busy
18,0,4.199482566212366,13.31680622635046,5.981112226733328,46,814,1.5499999999999763,1.1079238329238388,1.0,2023-01-26_S1,least_busy
26,0,4.938362899948199,16.43433990935403,7.518886780493801,46,1125,1.4500000000000286,1.1149333333333273,1.0,2023-01-26_S2,least_busy
12,0,5.398965346073514,10.306177662017701,5.866126438125616,46,517,1.3500000000000127,1.0,1.0,2023-01-27_S0,least_busy
14,0,4.121805689596211,12.212101475055062,5.95782836010176,46,641,1.549999999999982,1.1016380655226141,1.0,2023-01-27_S1,least_busy
31,0,3.429088040306981,8.138176744557478,4.670875004882596,46,1351,1.4500000000000315,1.1066987416728296,1.0,2023-01-27_S2,least_busy
15,0,2.9103902561535895,3.8620940187399375,3.1382726898236775,46,700,1.3500000000000154,1.04400000000001,1.0,2023-01-28_S0,least_busy
22,0,3.132084581276005,6.405025217154105,3.675699575669246,46,1003,1.5499999999999723,1.1116151545363984,1.0,2023-01-28_S1,least_busy
15,0,3.5678190424157594,6.006880428742181,4.047719307819823,46,663,1.450000000000017,1.0837858220211154,1.0,2023-01-28_S2,least_busy
22,0,3.5773046415169865,8.086106425541661,4.781878207243381,46,981,1.3499999999999919,1.026146788990829,1.0,2023-01-29_S0,least_busy
15,0,3.2051887004346735,6.711100640326466,3.95829075947309,46,691,1.5499999999999803,1.1229377713458832,1.0,2023-01-29_S1,least_busy
5,0,3.4730723494664604,8.885933180880901,5.094186973784996,46,231,1.4499999999999937,1.0779220779220786,1.0,2023-01-29_S2,least_busy
9,0,2.8613642800172983,7.413964920342496,5.011029123619498,46,417,1.3500000000000105,1.0230215827338116,1.0,2023-01-30_S0,least_busy
5,0,4.274349063533741,6.432821090205254,4.527750856679783,46,232,1.5500000000000065,1.0907327586206919,1.0,2023-01-30_S1,least_busy
36,0,3.2128165429896915,8.263891660499482,4.0752725302872355,46,1532,1.4500000000000155,1.134562663185361,1.0,2023-01-30_S2,least_busy
8,0,4.2531550523754476,10.39065023598459,6.136742256700075,46,363,1.5500000000000032,1.1052341597796087,1.0,2023-01-31_S1,least_busy
