n_calls,missed_calls,p50_resp_min,p90_resp_min,avg_resp_min,units,legs,avg_road_factor,avg_hour_mult,avg_zone_mult,segment,policy_id
14,0,2.963174386720803,4.141287779640194,3.0815287275102845,46,643,1.4500000000000162,1.0723172628304865,1.0,2023-01-16_S2,nearest_eta
4,0,5.850599912818195,12.84944105717535,7.400268947043602,46,186,1.349999999999996,1.0,1.0,2023-01-17_S0,nearest_eta
12,0,4.067057424469633,6.747373599039719,4.8175876295614195,46,532,1.5499999999999876,1.1074248120300711,1.0,2023-01-17_S1,nearest_eta
11,0,3.755118035109482,5.8637850312039195,4.711235173895165,46,500,1.4500000000000077,1.20009999999999,1.0,2023-01-17_S2,nearest_eta
16,0,3.4893917823906637,8.522556758563606,4.4528913354342246,46,728,1.3500000000000156,1.0451236263736308,1.0,2023-01-18_S0,nearest_eta
10,0,2.891962381274491,3.6438613906107524,2.878814359876613,46,463,1.5499999999999925,1.1098272138229026,1.0,2023-01-18_S1,nearest_eta
3,0,1.9123249709141765,2.77439301208509,2.1717377692764424,46,141,1.4499999999999968,1.0,1.0,2023-01-18_S2,nearest_eta
13,0,2.925555016384255,4.836422634057987,4.1098958307147395,46,604,1.3500000000000143,1.0391556291390815,1.0,2023-01-19_S0,nearest_eta
10,0,3.828090627658086,12.839701255755966,5.731733326555001,46,465,1.5499999999999925,1.0944086021505377,1.0,2023-01-19_S1,nearest_eta
33,0,3.2910977756468363,5.838203824988605,4.024322965807229,46,1423,1.4500000000000306,1.1265635980323288,1.0,2023-01-19_S2,nearest_eta
17,0,2.874807055412867,3.9431962479888503,3.289091974056671,46,763,1.3500000000000154,1.0031454783748333,1.0,2023-01-20_S0,nearest_eta
12,0,3.295894168962248,4.474967748739686,3.4014967380568533,46,550,1.5499999999999865,1.1040909090909177,1.0,2023-01-20_S1,nearest_eta
20,0,3.3826422551850905,4.80133970275255,3.4553319589029656,46,888,1.4500000000000242,1.178434684684689,1.0,2023-01-20_S2,nearest_eta
15,0,3.0592789320285068,7.112903217252919,4.6471944212286616,46,691,1.3500000000000154,1.0526049204052217,1.0,2023-01-21_S0,nearest_eta
8,0,3.5536366585344856,8.229602034163108,4.940058509363175,46,373,1.5500000000000018,1.0693029490616708,1.0,2023-01-21_S1,nearest_eta
20,0,2.965849706109435,7.493327466918576,3.893808135029359,46,904,1.4500000000000246,1.1430862831858346,1.0,2023-01-21_S2,nearest_eta
13,0,3.0003072288828987,7.185043434123858,4.95067507339273,46,603,1.3500000000000143,1.0913764510779576,1.0,2023-01-22_S0,nearest_eta
16,0,3.097312288115553,9.096365551674543,4.201816833629218,46,729,1.549999999999979,1.087654320987659,1.0,2023-01-22_S1,nearest_eta
8,0,2.7527593845832463,9.29140383551271,5.249327107283703,46,361,1.4499999999999933,1.096952908587256,1.0,2023-01-22_S2,nearest_eta
23,0,3.3579390987493616,5.154065063922569,3.696612799588092,46,1043,1.3499999999999868,1.0383029721955959,1.0,2023-01-23_S0,nearest_eta
4,0,12.239210206609052,14.41448055904955,10.573199028512065,46,186,1.5500000000000052,1.1478494623655962,1.0,2023-01-23_S1,nearest_eta
10,0,4.270621502018885,11.763091572145226,6.573143529192182,46,457,1.4500000000000042,1.0154266958424507,1.0,2023-01-23_S2,nearest_eta
12,0,3.185448545560866,4.387804289497783,4.834468209015378,46,542,1.3500000000000132,1.0175276752767568,1.0,2023-01-24_S0,nearest_eta
19,0,3.3608801269387847,6.902104899641056,4.587658967973327,46,856,1.5499999999999752,1.089894859813082,1.0,2023-01-24_S1,nearest_eta
32,0,3.316409711756462,4.803935147630907,4.463704301286266,46,1397,1.450000000000032,1.1068002863278394,1.0,2023-01-24_S2,nearest_eta
11,0,3.583917864811246,5.218895713721301,3.791133219121525,46,509,1.3500000000000127,1.0328094302554063,1.0,2023-01-25_S0,nearest_eta
14,0,3.149725948393435,5.778839344509072,4.064761906500691,46,646,1.5499999999999818,1.103173374613003,1.0,2023-01-25_S1,nearest_eta
25,0,3.3805574134190035,9.081791295496934,4.625436174330413,46,1058,1.4500000000000277,1.1579395085066142,1.0,2023-01-25_S2,nearest_eta
9,0,2.8686560339814027,4.346830505203089,3.296273130433641,46,415,1.3500000000000103,1.0,1.0,2023-01-26_S0,nearest_eta
18,0,4.247472176929319,13.789719426531073,5.949406941610057,46,814,1.5499999999999763,1.1076167076167136,1.0,2023-01-26_S1,nearest_eta
26,0,4.868561636309028,16.739238726835048,7.586818467647768,46,1124,1.4500000000000286,1.1144128113878946,1.0,2023-01-26_S2,nearest_eta
12,0,5.350666083686264,10.429954233999116,5.865205753830616,46,516,1.3500000000000127,1.0,1.0,2023-01-27_S0,nearest_eta
14,0,4.047120724348346,11.788140384757153,5.924307124555843,46,639,1.549999999999982,1.1017996870109479,1.0,2023-01-27_S1,nearest_eta
31,0,3.2520776764833172,8.159759260762854,4.6148527178048955,46,1351,1.4500000000000315,1.1066617320503278,1.0,2023-01-27_S2,nearest_eta
15,0,2.8494035063678087,3.7548818529976673,3.1124627423783386,46,696,1.3500000000000154,1.04375000000001,1.0,2023-01-28_S0,nearest_eta
22,0,3.1809848206458273,6.384840960078795,3.66498534087096,46,1004,1.5499999999999723,1.1119023904382546,1.0,2023-01-28_S1,nearest_eta
15,0,3.320679591837318,5.362988957780525,3.7106235674409143,46,675,1.4500000000000175,1.0859999999999992,1.0,2023-01-28_S2,nearest_eta
22,0,3.557149136620521,8.427458082458752,4.857090092211849,46,982,1.3499999999999917,1.0261201629327934,1.0,2023-01-29_S0,nearest_eta
15,0,3.1467202899611983,6.773608846397246,3.9695693015920237,46,690,1.5499999999999803,1.1229710144927616,1.0,2023-01-29_S1,nearest_eta
5,0,3.4365145314162255,9.30306515068899,5.2336539369427415,46,231,1.4499999999999937,1.0779220779220786,1.0,2023-01-29_S2,nearest_eta
9,0,2.8051428044652758,7.021942450597011,4.787145445238303,46,417,1.3500000000000105,1.0230215827338116,1.0,2023-01-30_S0,nearest_eta
5,0,4.135025172401244,6.283432310881336,4.4149651972320925,46,234,1.5500000000000065,1.0903846153846177,1.0,2023-01-30_S1,nearest_eta
36,0,3.2288154361825456,8.009263761288302,4.0548652517425205,46,1535,1.450000000000015,1.1346579804560082,1.0,2023-01-30_S2,nearest_eta
8,0,4.343567629801571,10.359004569254267,6.185364387004326,46,360,1.5500000000000034,1.1051388888888833,1.0,2023-01-31_S1,nearest_eta
11,0,3.7048043034977853,8.122949247759951,4.595860706847585,46,490,1.450000000000007,1.00969387755102,1.0,2023-01-31_S2,nearest_eta
15,0,3.2289580377122586,6.119608073758162,3.842199544642278,46,654,1.350000000000015,1.0,1.0,2023-02-01_S0,nearest_eta
8,0,3.699898852937156,12.11274934146063,6.391135496687124,46,370,1.550000000000002,1.081216216216215,1.0,2023-02-01_S1,nearest_eta
35,0,4.190441231846965,10.065756177268444,5.160314575474342,46,1497,1.4500000000000202,1.1384435537742004,1.0,2023-02-01_S2,nearest_eta
12,0,3.256007433913743,5.144520708024275,3.8523066064856586,46,510,1.3500000000000127,1.0,1.0,2023-02-02_S0,nearest_eta
