n_calls,missed_calls,p50_resp_min,p90_resp_min,avg_resp_min,units,legs,avg_road_factor,avg_hour_mult,avg_zone_mult,segment,policy_id
14,0,3.021857991800104,4.088929118018441,3.101805149414765,46,645,1.4500000000000162,1.0720155038759733,1.0,2023-01-16_S2,type_pref_als
4,0,5.900840725889703,12.973939148502343,7.438396540866945,46,185,1.349999999999996,1.0,1.0,2023-01-17_S0,type_pref_als
12,0,3.979341059559747,6.776335868475657,4.84505246744725,46,530,1.5499999999999878,1.1072641509433923,1.0,2023-01-17_S1,type_pref_als
11,0,3.8046275295844576,5.872320800014845,4.781600694788581,46,501,1.4500000000000077,1.2002994011975947,1.0,2023-01-17_S2,type_pref_als
16,0,3.472999445903457,9.21739212160454,4.633570735315156,46,728,1.3500000000000156,1.0451236263736308,1.0,2023-01-18_S0,type_pref_als
10,0,2.9208875258963727,3.732403276926458,2.8766919555814425,46,459,1.549999999999993,1.109368191721141,1.0,2023-01-18_S1,type_pref_als
3,0,1.9416480857039262,2.7547613785875145,2.1725984666805878,46,141,1.4499999999999968,1.0,1.0,2023-01-18_S2,type_pref_als
13,0,2.9325819210936865,4.9274405120326765,4.102088544233489,46,602,1.3500000000000143,1.0391196013289123,1.0,2023-01-19_S0,type_pref_als
10,0,3.9233406975925584,13.06930568745088,5.885426705515107,46,467,1.5499999999999923,1.0946466809421842,1.0,2023-01-19_S1,type_pref_als
33,0,3.2713827444410724,5.85961672502414,4.02421193701536,46,1431,1.4500000000000295,1.1273584905660399,1.0,2023-01-19_S2,type_pref_als
17,0,2.857172146748264,3.8490058598699073,3.249592386537494,46,762,1.3500000000000156,1.0030839895013095,1.0,2023-01-20_S0,type_pref_als
12,0,3.302107766114708,4.498895744076807,3.406898852960453,46,552,1.5499999999999865,1.1039855072463856,1.0,2023-01-20_S1,type_pref_als
20,0,3.238420779723672,4.854363625956948,3.419044521206417,46,901,1.4500000000000246,1.178745837957829,1.0,2023-01-20_S2,type_pref_als
15,0,3.00220432365038,7.24060571868195,4.68667759547709,46,690,1.3500000000000154,1.052391304347838,1.0,2023-01-21_S0,type_pref_als
8,0,3.714373568648273,8.028197908698573,4.91921234035843,46,373,1.5500000000000018,1.0693029490616708,1.0,2023-01-21_S1,type_pref_als
20,0,2.9314350477491717,7.244140649586508,3.906558057687479,46,906,1.4500000000000246,1.143156732891826,1.0,2023-01-21_S2,type_pref_als
13,0,3.0622039393970946,7.0248592554240785,4.888249582074954,46,607,1.3500000000000143,1.0915980230642648,1.0,2023-01-22_S0,type_pref_als
16,0,3.1090441013174246,8.884312157623334,4.23946190808064,46,727,1.549999999999979,1.0875515818431958,1.0,2023-01-22_S1,type_pref_als
8,0,2.767309819044112,9.124265117312781,5.1875975428349586,46,360,1.449999999999993,1.0966666666666651,1.0,2023-01-22_S2,type_pref_als
23,0,3.397629271505115,5.148152188374355,3.665455742663056,46,1046,1.3499999999999865,1.0380019120458952,1.0,2023-01-23_S0,type_pref_als
4,0,12.542986809306386,15.327601429098028,10.959896401941013,46,186,1.5500000000000052,1.1478494623655962,1.0,2023-01-23_S1,type_pref_als
10,0,4.4427280979632835,11.589521887958883,6.564053996625536,46,458,1.4500000000000042,1.0153930131004365,1.0,2023-01-23_S2,type_pref_als
12,0,3.1375183451192408,4.475943613943284,4.746721679456216,46,540,1.3500000000000132,1.0175925925925966,1.0,2023-01-24_S0,type_pref_als
19,0,3.369710843170098,6.711030324902965,4.688684398846246,46,857,1.5499999999999752,1.089964994165692,1.0,2023-01-24_S1,type_pref_als
32,0,3.3108457712899075,4.94396126666951,4.419424987218824,46,1404,1.450000000000032,1.107229344729339,1.0,2023-01-24_S2,type_pref_als
11,0,3.6233420100341864,5.198874112703855,3.818003418850095,46,510,1.3500000000000127,1.0323529411764742,1.0,2023-01-25_S0,type_pref_als
14,0,3.1885443896776424,5.979217247705524,4.103534771780079,46,643,1.5499999999999818,1.1031881804043544,1.0,2023-01-25_S1,type_pref_als
25,0,3.342406093458519,9.345394410375288,4.606122476758187,46,1055,1.4500000000000275,1.158009478672984,1.0,2023-01-25_S2,type_pref_als
9,0,2.8997007367894803,4.588521596996968,3.4285669605860125,46,416,1.3500000000000105,1.0,1.0,2023-01-26_S0,type_pref_als
18,0,4.264578713877199,13.973537721383346,6.020425882857596,46,819,1.5499999999999763,1.1078754578754637,1.0,2023-01-26_S1,type_pref_als
26,0,5.009193997379681,16.005711644264025,7.5650164846976145,46,1124,1.4500000000000286,1.1137900355871828,1.0,2023-01-26_S2,type_pref_als
12,0,5.451381996993218,10.992222714355679,6.061843141008114,46,513,1.3500000000000127,1.0,1.0,2023-01-27_S0,type_pref_als
14,0,4.1199048102582925,11.50910818584421,5.955144077117476,46,642,1.549999999999982,1.101557632398747,1.0,2023-01-27_S1,type_pref_als
31,0,3.1301391999211026,8.200750619210051,4.5807261133736334,46,1352,1.4500000000000315,1.1065458579881602,1.0,2023-01-27_S2,type_pref_als
15,0,2.854666929757511,3.758663560626578,3.146358380163873,46,695,1.3500000000000154,1.0443165467626,1.0,2023-01-28_S0,type_pref_als
22,0,3.128591593662514,6.366605823509939,3.6785960064786,46,999,1.5499999999999723,1.1119619619619692,1.0,2023-01-28_S1,type_pref_als
